"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that products can be added to the cart successfully.","1280","Verify Add to Cart Functionality","","Wed Sep 25 15:58:43 AMT 2024","passed","Wed Sep 25 15:58:44 AMT 2024","","Cart Tests","",""
"This test verifies that all footer links work correctly.","7654","Verify Footer Links","","Wed Sep 25 15:58:47 AMT 2024","passed","Wed Sep 25 15:58:54 AMT 2024","","Footer Tests","",""
"This test verifies that products can be added to the wishlist successfully.","1057","Verify Add to Wishlist Functionality","","Wed Sep 25 15:58:46 AMT 2024","passed","Wed Sep 25 15:58:47 AMT 2024","","Wishlist Tests","",""
"This test verifies that the search functionality returns correct products.","1292","Verify Product Search","","Wed Sep 25 15:58:42 AMT 2024","passed","Wed Sep 25 15:58:43 AMT 2024","","Search Tests","",""
"This test verifies that nested menu items are clickable and lead to the correct pages.","1210","Verify Clickable Nested Menu Items","","Wed Sep 25 15:58:41 AMT 2024","passed","Wed Sep 25 15:58:42 AMT 2024","","Nested Menu Tests","",""
"This test verifies that nested menu items are clickable and lead to the correct pages.","1222","Verify Clickable Nested Menu Items","","Wed Sep 25 15:58:39 AMT 2024","passed","Wed Sep 25 15:58:41 AMT 2024","","Nested Menu Tests","",""
"This test verifies that nested menu items are clickable and lead to the correct pages.","1206","Verify Clickable Nested Menu Items","","Wed Sep 25 15:58:37 AMT 2024","passed","Wed Sep 25 15:58:38 AMT 2024","","Nested Menu Tests","",""
"This test verifies that nested menu items are clickable and lead to the correct pages.","1405","Verify Clickable Nested Menu Items","","Wed Sep 25 15:58:38 AMT 2024","passed","Wed Sep 25 15:58:39 AMT 2024","","Nested Menu Tests","",""
"This test verifies that all main menu items are clickable and lead to the correct pages.","4457","Verify Clickable Menu Items","","Wed Sep 25 15:58:32 AMT 2024","passed","Wed Sep 25 15:58:37 AMT 2024","","Main Menu Tests","",""
"This test verifies that the image slider works as expected.","2016","Verify Slider Functionality","","Wed Sep 25 15:58:54 AMT 2024","passed","Wed Sep 25 15:58:56 AMT 2024","","Slider Tests","",""
